,0,1,2,3
0,DBS Vickers Securities (Singapore) Pte Ltd,DBS Vickers Trading account number,7 Digits,"80XX XXX Please indicate ""0"" for payment limit."
1,67 Pall Mall Singapore Pte. Ltd.,Membership No.,9 Characters (all numeric),012345678
2,SENTOSA GOLF CLUB,Membership Number,7 Alphanumeric Characters (Maximum),A12345 / A12345X / AB1234
3,Singapore Swimming Club,Account No. with billing corporation as shown on statement,5 Characters (2 Alphabet 3 Digits),TA123
4,Singapore Island Country Club,Club No. as provided by billing organisation,5 Characters (1 Alphabet 4 Digits),A0123400 as A1234
5,Temasek Club,NRIC No. with Prefix,8 Characters (1 Alphabet 7 Digits),S1234567A
6,The Keppel Club,Membership No.,6 Characters (2 Alphabet 4 Digits),NG1234
7,Warren Golf & Country Club,Member's Club No. as shown on membership card or statement,9 Characters (2 Alphabet 6 Digits with a hyphen),Social Member ST1234-00
8,Warren Golf & Country Club,Member's Club No. as shown on membership card or statement,9 Characters (2 Alphabet 6 Digits with a hyphen),"Golfing, Ladies, Ordinary Member GF1234-00"
9,Warren Golf & Country Club,Member's Club No. as shown on membership card or statement,11 Characters (3 Alphabet 7 Digits with a hyphen),Corporate Member CM0021N1-00
10,American Express Card,"For credit cards (3762 1 xxx...), input first 11 digits of the card no (without Hyphens)",11 Digits,3762 123456 78901 input the bill reference no. as 37621234567
11,American Express Card,"For charge cards (3762 0 xxx...), input first 11 digits of the card no (without Hyphens)",11 Digits,3762 123456 78901 input the bill reference no. as 37621234567
12,American Express Card,"For corporate cards (3762 2 xxx...), input first 11 digits of the card no (without Hyphens)",11 Digits,3762 123456 78901 input the bill reference no. as 37621234567
13,DBS Cashline (information),10-Digit DBS Cashline account no.,10 Digits,0821234567
14,Busy Bees Singapore,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO
15,Brighton Montessori,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO
16,Pat's Schoolhouse,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO
17,Odyssey Preschool,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO
