,0,1,2,3,4
0,DBS Vickers Securities (Singapore) Pte Ltd,DBS Vickers Trading account number,7 Digits,"80XX XXX Please indicate ""0"" for payment limit.",Brokerage / Securities Firms
1,67 Pall Mall Singapore Pte. Ltd.,Membership No.,9 Characters (all numeric),012345678,Country Clubs / Recreational Clubs
2,SENTOSA GOLF CLUB,Membership Number,7 Alphanumeric Characters (Maximum),A12345 / A12345X / AB1234,Country Clubs / Recreational Clubs
3,Singapore Swimming Club,Account No. with billing corporation as shown on statement,5 Characters (2 Alphabet 3 Digits),TA123,Country Clubs / Recreational Clubs
4,Singapore Island Country Club,Club No. as provided by billing organisation,5 Characters (1 Alphabet 4 Digits),A0123400 as A1234,Country Clubs / Recreational Clubs
5,Temasek Club,NRIC No. with Prefix,8 Characters (1 Alphabet 7 Digits),S1234567A,Country Clubs / Recreational Clubs
6,The Keppel Club,Membership No.,6 Characters (2 Alphabet 4 Digits),NG1234,Country Clubs / Recreational Clubs
7,Warren Golf & Country Club,Member's Club No. as shown on membership card or statement,9 Characters (2 Alphabet 6 Digits with a hyphen),Social Member ST1234-00,Country Clubs / Recreational Clubs
8,Warren Golf & Country Club,Member's Club No. as shown on membership card or statement,9 Characters (2 Alphabet 6 Digits with a hyphen),"Golfing, Ladies, Ordinary Member GF1234-00",Country Clubs / Recreational Clubs
9,Warren Golf & Country Club,Member's Club No. as shown on membership card or statement,11 Characters (3 Alphabet 7 Digits with a hyphen),Corporate Member CM0021N1-00,Country Clubs / Recreational Clubs
10,American Express Card,"For credit cards (3762 1 xxx...), input first 11 digits of the card no (without Hyphens)",11 Digits,3762 123456 78901 input the bill reference no. as 37621234567,Credit Cards / DBS Cashline
11,American Express Card,"For charge cards (3762 0 xxx...), input first 11 digits of the card no (without Hyphens)",11 Digits,3762 123456 78901 input the bill reference no. as 37621234567,Credit Cards / DBS Cashline
12,American Express Card,"For corporate cards (3762 2 xxx...), input first 11 digits of the card no (without Hyphens)",11 Digits,3762 123456 78901 input the bill reference no. as 37621234567,Credit Cards / DBS Cashline
13,DBS Cashline (information),10-Digit DBS Cashline account no.,10 Digits,0821234567,Credit Cards / DBS Cashline
14,Busy Bees Singapore,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO,Educational Institution
15,Brighton Montessori,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO,Educational Institution
16,Pat's Schoolhouse,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO,Educational Institution
17,Odyssey Preschool,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO,Educational Institution
18,Learning Vision,DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 Characters (5 Alphabets 7 digits),T1234567ACDA or T1234567AGRO,Educational Institution
19,Ministry of Education,NRIC or FIN as per Student ID,9 Characters (2 Alphabet 7 digits),T0123456A/ G1234567W,Educational Institution
20,MOE Kindergartens,DDA Reference should be Birth Certificate number of enrolled MK child,9 Characters (2 Alphabets 7 digits),T1234567A,Educational Institution
21,Nanyang Polytechnic,Admission Number,7 Alphanumeric Characters,120899P,Educational Institution
22,PAP Community Foundation (PCF),DDA Reference Should be Child’s Birth Certificate along with indication of CDA or GRO,12 characters,T1234567ACDA OR T1234567AGRO,Educational Institution
23,Raffles Girls' School (Secondary),NRIC or FIN as per Student ID,9 Characters (2 alphabets 7 digits),T0812345ZG1954321A,Educational Institution
24,Raffles Institution,NRIC or FIN No.,9 Characters (2 Alphabet 7 Digits),S7812345I / F1234567J,Educational Institution
25,Singapore American School Limited,Student ID number,5 characters,12345,Educational Institution
26,Singapore Institute of Technology (SIT),Student ID,7 Characters,1600101,Educational Institution
27,Singapore Management University,NRIC or FIN as per Campus ID,9 Characters (2 Alphabet 7 digits),S7712345I/F1234578A,Educational Institution
28,Singapore Polytechnic,Student ID No.,7 Digits,2000001,Educational Institution
29,Temasek Polytechnic,Admission Number,8 Alphanumeric Characters,2012345P,Educational Institution
30,ZOO-PHONICS (BB),"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
31,ZOO-PHONICS THOMSON,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
32,ZOO-PHONICS WOODLANDS,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
33,ZOO-PHONICS (BTSC),"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
34,ZOO-PHONICS TAMPINES,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
35,ZOO-PHONICS BT TIMAH,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
36,ZOO-PHONICS INT PSCH,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA account",6,823451 OR 823452,Educational Institution
37,ZOO-PHONICS ASIA,DDA Reference should be Child’s Student ID,5,82345,Educational Institution
38,ZOO-PHONICS TPY,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA accounts",6,823451 OR 823452,Educational Institution
39,ZOO-PHONICS (1A),"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA accounts",6,823451 OR 823452,Educational Institution
40,ZOO-PHONICS YISHUN,"DDA Reference should be Child’s Student ID followed by ""1"" for CDA accounts or ""2"" for non-CDA accounts",6,823451 OR 823452,Educational Institution
41,Health Promotion Board,Please refer to the DDA reference number that is included in your hiSG notification email.,7 Digits,1010123,Government Agencies
42,IRAS - Income Tax*,NRIC or FIN No.,9 Characters,S7812345I / F1234567J,Government Agencies
43,IRAS - Property Tax*,Reference No. provided by billing organisation,8 Characters,0357568G,Government Agencies
44,KK HOSPITAL,Patient’s NRIC or FIN No.,9 Characters (2 Alphabet 7 Digits),S7812345I / F1234567J,Government Agencies
45,NHC Outpatient,Patient’s NRIC or FIN No.,9 Characters (2 Alphabet 7 Digits),S1234567A / F1234567J,Government Agencies
46,SENGKANG GENERAL HOSPITAL,Patient's NRIC or FIN or MRN No.,12 Characters (2 Alphabets 9 Digits),S1234567A / F1234567J/ X0123456789B,Government Agencies
